step,timestamp,hour,price,action,act_type,soc_before,new_soc,grid_mwh,cash,spread,degradation,is_spike
2631,2025-10-10 06:25:00,6,26.77,0.01603434979915619,hold,0.056464217603206635,0.056784626096487045,-0.03340489541490872,-0.8942490502571064,-0.08551653226216628,0.03340489541490872,False
2632,2025-10-10 06:30:00,6,27.4,0.015583010390400887,hold,0.056784626096487045,0.05709601566195488,-0.032464604980001845,-0.8895301764520505,-0.10356208988620581,0.032464604980001845,False
2633,2025-10-10 06:35:00,6,26.45,-0.0030961399897933006,hold,0.05709601566195488,0.057028766721487045,0.006450291645402709,0.17061021402090165,0.014448653285702058,0.006450291645402709,False
2634,2025-10-10 06:40:00,6,26.49,0.02816455438733101,hold,0.057028766721487045,0.05759156867861748,-0.058676154973606266,-1.5543313452508298,-0.13378163333982215,0.058676154973606266,False
2635,2025-10-10 06:45:00,6,26.5,0.0049993968568742275,hold,0.05759156867861748,0.05769146978855133,-0.010415410118487973,-0.2760083681399313,-0.02385128917133745,0.010415410118487973,False
2636,2025-10-10 06:50:00,6,27.4,0.012856896966695786,hold,0.05769146978855133,0.057948384433984756,-0.02678520201394955,-0.7339145351822176,-0.08544479442449901,0.02678520201394955,False
2637,2025-10-10 06:55:00,6,27.21,0.011973981745541096,hold,0.057948384433984756,0.05818765610456467,-0.024945795303210616,-0.6787750902003609,-0.07483738590963185,0.024945795303210616,False
2638,2025-10-10 07:00:00,7,28.73,0.0292504895478487,hold,0.05818765610456467,0.05877215787768364,-0.06093851989135146,-1.7507636764785275,-0.2754421099089086,0.06093851989135146,False
2639,2025-10-10 07:05:00,7,29.57,0.014847185462713242,hold,0.05877215787768364,0.059068843722343445,-0.030931636380652584,-0.9146484877758969,-0.16579357100029785,0.030931636380652584,False
2640,2025-10-10 07:10:00,7,27.68,0.0126971285790205,hold,0.059068843722343445,0.05932256579399109,-0.026452351206292708,-0.7322010813901821,-0.09178965868583566,0.026452351206292708,False
2641,2025-10-10 07:15:00,7,27.41,0.01806919276714325,hold,0.05932256579399109,0.05968363583087921,-0.0376441515982151,-1.031826195307076,-0.1204612851142883,0.0376441515982151,False
2642,2025-10-10 07:20:00,7,27.76,0.004603054374456406,hold,0.05968363583087921,0.059775616973638535,-0.009589696613450844,-0.26620997798939544,-0.0340434229777505,0.009589696613450844,False
2643,2025-10-10 07:25:00,7,28.23,-0.01625387743115425,hold,0.059775616973638535,0.059422578662633896,0.03386224464823802,0.9559311664197593,0.13612622348591683,0.03386224464823802,False
2644,2025-10-10 07:30:00,7,26.77,0.03146206587553024,hold,0.059422578662633896,0.06005127355456352,-0.06554597057402134,-1.7546656322665513,-0.16779768466949455,0.06554597057402134,False
2645,2025-10-10 07:35:00,7,26.89,0.006790022365748882,hold,0.06005127355456352,0.0601869560778141,-0.014145879928643504,-0.38038271128122386,-0.03791095820876459,0.014145879928643504,False
2646,2025-10-10 07:40:00,7,26.6,0.00020003554527647793,hold,0.0601869560778141,0.06019095331430435,-0.00041674071932599566,-0.011085303134071484,-0.0009960103191891299,0.00041674071932599566,False
2647,2025-10-10 07:45:00,7,26.99,-0.00417426647618413,hold,0.06019095331430435,0.060100287199020386,0.00869638849205027,0.23471552540043678,0.02417596000789973,0.00869638849205027,False
2648,2025-10-10 07:50:00,7,26.72,0.0595768466591835,charge,0.060100287199020386,0.061290789395570755,-0.12411843053996563,-3.3164444640278816,-0.3115372606553135,0.12411843053996563,False
2649,2025-10-10 07:55:00,7,27.18,-0.0033132745884358883,hold,0.061290789395570755,0.06121882423758507,0.006902655392574767,0.18761417357018215,0.02050088651594705,0.006902655392574767,False
2650,2025-10-10 08:00:00,8,27.58,0.0003135692095384002,hold,0.06121882423758507,0.06122509017586708,-0.0006532691865383337,-0.01801716416472724,-0.0022015171586341827,0.0006532691865383337,False
2651,2025-10-10 08:05:00,8,27.82,0.011207209900021553,hold,0.06122509017586708,0.06144903972744942,-0.023348353958378233,-0.6495512071220825,-0.08428755778974541,0.023348353958378233,False
2652,2025-10-10 08:10:00,8,26.75,-0.0034895893186330795,hold,0.06144903972744942,0.06137324497103691,0.0072699777471522484,0.19447190473632264,0.018465743477766704,0.0072699777471522484,False
2653,2025-10-10 08:15:00,8,26.81,0.027423882856965065,hold,0.06137324497103691,0.061921246349811554,-0.057133089285343885,-1.5317381237400696,-0.148546032141894,0.057133089285343885,False
2654,2025-10-10 08:20:00,8,26.84,-0.006124361418187618,hold,0.061921246349811554,0.061788223683834076,0.01275908628789087,0.34245387596699095,0.033556396937152976,0.01275908628789087,False
2655,2025-10-10 08:25:00,8,27.57,-0.002505451673641801,hold,0.061788223683834076,0.061733804643154144,0.0052196909867537515,0.14390688050480094,0.017538161715492603,0.0052196909867537515,False
2656,2025-10-10 08:30:00,8,27.12,0.010052298195660114,hold,0.061733804643154144,0.06193467602133751,-0.020942287907625236,-0.5679548480547965,-0.060942057811189436,0.020942287907625236,False
2657,2025-10-10 08:35:00,8,27.01,0.032512206584215164,hold,0.06193467602133751,0.06258435547351837,-0.06773376371711493,-1.8294889579992741,-0.18965453840792185,0.06773376371711493,False
2658,2025-10-10 08:40:00,8,27.12,0.004909352865070105,hold,0.06258435547351837,0.06268245726823807,-0.01022781846889605,-0.2773784368764609,-0.029762951744487506,0.01022781846889605,False
2659,2025-10-10 08:45:00,8,27.15,0.03363355994224548,hold,0.06268245726823807,0.06335454434156418,-0.07006991654634476,-1.9023982342332602,-0.20600555464625342,0.07006991654634476,False
2660,2025-10-10 08:50:00,8,27.24,-0.00934261828660965,hold,0.06335454434156418,0.06315162032842636,0.019463788097103436,0.5301935877650975,0.058975277934223365,0.019463788097103436,False
2661,2025-10-10 08:55:00,8,27.2,0.002579768653959036,hold,0.06315162032842636,0.06320317089557648,-0.005374518029081324,-0.14618689039101201,-0.01606980890695315,0.005374518029081324,False
2662,2025-10-10 09:00:00,9,27.18,0.0012524125631898642,hold,0.06320317089557648,0.06322819739580154,-0.0026091928399788835,-0.07091786139062606,-0.007749302734737281,0.0026091928399788835,False
2663,2025-10-10 09:05:00,9,30.73,0.013320911675691605,hold,0.06322819739580154,0.06349438428878784,-0.02775189932435751,-0.8528158662375063,-0.18094238359481096,0.02775189932435751,False
2664,2025-10-10 09:10:00,9,31.0,8.650185191072524e-05,hold,0.06349438428878784,0.06349611282348633,-0.00018021219148067757,-0.005586577935901005,-0.0012236407801538005,0.00018021219148067757,False
2665,2025-10-10 09:15:00,9,28.39,-0.012110825628042221,hold,0.06349611282348633,0.06323306262493134,0.02523088672508796,0.7163048741252472,0.10546510651086766,0.02523088672508796,False
2666,2025-10-10 09:20:00,9,29.29,-0.0228619035333395,hold,0.06323306262493134,0.06273649632930756,0.04762896569445729,1.395052405190654,0.24195514572784296,0.04762896569445729,False
2667,2025-10-10 09:25:00,9,29.7,-0.02263413555920124,hold,0.06273649632930756,0.062244877219200134,0.04715444908166925,1.4004871377255768,0.2588779254583641,0.04715444908166925,False
2668,2025-10-10 09:30:00,9,30.08,0.0029647392220795155,hold,0.062244877219200134,0.062304120510816574,-0.0061765400459989905,-0.18579032458364964,-0.03625629007001406,0.0061765400459989905,False
2669,2025-10-10 09:35:00,9,29.25,-0.03568587824702263,hold,0.062304120510816574,0.0615290142595768,0.07434557968129714,2.1746082056779414,0.3747017215937375,0.07434557968129714,False
2670,2025-10-10 09:40:00,9,29.32,-0.021719973534345627,hold,0.0615290142595768,0.06105725094676018,0.04524994486322005,1.326728383389612,0.23122721825105444,0.04524994486322005,False
2671,2025-10-10 09:45:00,9,29.64,0.006497146561741829,hold,0.06105725094676018,0.061187081038951874,-0.013535722003628809,-0.40119880018755794,-0.07349897047970443,0.013535722003628809,False
2672,2025-10-10 09:50:00,9,29.98,-0.0059948693960905075,hold,0.061187081038951874,0.061056870967149734,0.012489311241855223,0.3744295510308196,0.07206332586550462,0.012489311241855223,False
2673,2025-10-10 09:55:00,9,29.42,-0.028315650299191475,hold,0.061056870967149734,0.06044184789061546,0.05899093812331557,1.7355133995879441,0.3073427876224742,0.05899093812331557,False
2674,2025-10-10 10:00:00,10,26.26,-0.03885525465011597,hold,0.06044184789061546,0.05959790199995041,0.08094844718774159,2.1257062231500945,0.1659443167348703,0.08094844718774159,False
2675,2025-10-10 10:05:00,10,30.62,-0.043601684272289276,hold,0.05959790199995041,0.05865086242556572,0.09083684223393598,2.7814241092031198,0.5822641587195296,0.09083684223393598,False
